Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
main,starbucks,ScreenCenterDecorator,0,0,2,2,67,6,0,2,-1.0,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/ScreenCenterDecorator.java,6
main,starbucks,ScreenLeftDecorator,0,0,2,2,46,4,0,2,-1.0,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/ScreenLeftDecorator.java,6
main,starbucks,ScreenDecorator,1,0,9,9,59,12,2,1,0.2222222222222222,0,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/ScreenDecorator.java,6
main,starbucks,Store,0,0,3,3,40,11,0,2,-1.0,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Store.java,5
main,starbucks,Settings,0,0,3,3,29,4,0,2,-1.0,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Settings.java,5
main,starbucks,Spacer,1,0,4,4,35,5,0,1,0.75,2,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Spacer.java,5
main,starbucks,Screen,3,0,10,10,105,12,10,1,0.8,0,3,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Screen.java,7
main,starbucks,IMenuCommand,0,0,2,0,14,2,1,0,-1.0,5,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IMenuCommand.java,5
main,starbucks,ThreePinDigits,1,0,5,5,37,5,0,1,0.6,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/ThreePinDigits.java,5
main,starbucks,NoPinDigits,1,0,5,5,35,5,0,1,0.8,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/NoPinDigits.java,5
